"srcLang","srcString","srcWords","srcPron","EN.words","EN.pron","DE.words","DE.pron","FR.words","FR.pron","JA.words","JA.pron","ZH.words","ZH.pron","srcGloss","EN.gloss","DE.gloss","FR.gloss","JA.gloss","ZH.gloss"
"ZH","葛瑞格爾","葛瑞格爾:葛瑞格爾","/kɤ˨˩˦.ʐuei˥˩.kɤ˧˥.ər˨˩˦/","key zoo e key an","/ki/ /zu/ /i/ /ki/ /ən/","Kuh Schuh in Kuh an","/kuː/ /ʃuː/ /iːn/ /kuː/ /aːn/","camp jouer camp auge","/ka/ /ʒue/ /ka/ /oʒ/","木 ず 胃 木 恩","/ki/ /zu/ /i/ /ki/ /oɴ/","克 瑞 克 爾","/kɤ˥˩/ /ʐuei˥˩/ /kɤ˥˩/ /ər˨˩˦/","Greg Palma","key zoo e key an","Cow shoe in cow","camp play camp auge","Trees without stomach tree kindness","Kerrick Palma"
"ZH","懶驢上磨屎尿多","懶驢上磨屎尿多:懶驢上磨屎尿多","/lan˨˩˦.ly˧˥.ʂaŋ˥˩.mo˥˩.ʂ˨˩˦.niau˥˩.tuo˥˥/","line law song moo sh knee ooh to","/laɪn/ /lɔ/ /sɔŋ/ /mu/ /ʃ/ /ni/ /u/ /tu/","Lamm lieh Fang Moos nie Ei Tuch","/lam/ /liː/ /faŋ/ /moː.oːs/ /niː/ /aɪ/ /tuːx/","lame lin femme mot c' nid où tout on","/lam/ /lɛ/ /fam/ /mo/ /s/ /ni/ /u/ /tu/ /o/","やんちゃ 酸 喪 胃 ニ 兎 と","/jan.t͡ɕa/ /saɴ/ /mo/ /i/ /ni/ /u/ /to/","蘭 律 上 万 十 尿 多","/lan˧˥/ /ly˥˩/ /ʂaŋ˨˩˦/ /mo˥˩/ /ʂ˧˥/ /niau˥˩/ /tuo˥˥/","懶 mill on the 驢 shit and piss","line law song moo sh knee ooh to","Lamb borrowed catch Moss never egg cloth","Blade lin woman word it nest where everything is","Mischievous acid mourning stomach (d) and the rabbit","Oakland more than ten urine"
"ZH","唐文宗","唐文宗:唐文宗","/taŋ˧˥.uən˧˥.tsuŋ˥˥/","tongue ooh an Zug","/tʌŋ/ /u/ /ən/ /tsuk/","Tang un tun","/taŋ/ /uːn/ /tuːn/","taille où nid t' sourd","/taj/ /u/ /ni/ /t/ /suʁ/","痰 兎 ニ 手 運","/taɴ/ /u/ /ni/ /te/ /uɴ/","當 文 宗","/taŋ˥˥/ /uən˧˥/ /tsuŋ˥˥/","Emperor Wenzong of Tang","tongue ooh an Zug","Do un Tang","size where nest deaf you","Phlegm rabbit in hand luck","When Wen Zong"
"ZH","常寧市","常寧市:常寧市","/tʂaŋ˧˥.niŋ˧˥.ʂ˥˩/","tongue knee sh","/tʌŋ/ /ni/ /ʃ/","Tang nie f","/taŋ/ /niː/ /f/","t' ange nid c'","/t/ /aʒ/ /ni/ /s/","痰 ニ 胃","/taɴ/ /ni/ /i/","廠 甯 市","/tʂaŋ˨˩˦/ /niŋ˧˥/ /ʂ˥˩/","Ningbo city","tongue knee sh","Tang never f","You Angel nest it","Phlegm in stomach","廠 Ning city"
"ZH","二重奏","二重奏:二重奏","/ər˥˩.tʂuŋ˧˥.tsou˥˩/","an tongue toe","/ən/ /tʌŋ/ /toʊ/","Öl tun Tor","/øːl/ /tuːn/ /toːɐ/","Elbe t' où t' son où","/əlb/ /t/ /u/ /t/ /so/ /u/","塩 手 運 手 兎","/eɴ/ /te/ /uɴ/ /te/ /u/","二 種 奏","/ər˥˩/ /tʂuŋ˨˩˦/ /tsou˥˩/","Duo","an tongue toe","Oil do gate","Elba you where you sound where","Salt hand lucky hand rabbit","Two kinds of play"
"ZH","潛規則","潛規則:潛規則","/tɕiɛn˧˥.kuei˥˥.tsɤ˧˥/","tree n coo e tree","/tɹi/ /ɛn/ /ku/ /i/ /tɹi/","Tisch in Kuh in Test","/tiːʃ/ /iːn/ /kuː/ /iːn/ /tɛst/","teint aine cou on très","/tɛ/ /ɛn/ /ku/ /o/ /tʁɛ/","手 胃 ニ 区 胃 手","/te/ /i/ /ni/ /ku/ /i/ /te/","千 歸 則","/tɕiɛn˥˥/ /kuei˥˥/ /tsɤ˧˥/","潛 rules patients with","tree n coo e tree","Table in cow in test","complexion elder neck is very","Hand stomach (d)-stomach hands","Thousands of GUI patients with"
"ZH","比薩餅","比薩餅:比薩餅","/pi˨˩˦.sa˥˩.piŋ˨˩˦/","p c ping","/pi/ /si/ /pɪŋ/","Pizza Bank","/piːt͡s.t͡saː/ /baŋ/","pis sa pire","/pi/ /sa/ /piʁ/","ピザ ピン","/pi.za/ /piɴ/","比薩 餅","/pi˨˩˦.sa˥˩/ /piŋ˨˩˦/","Than the Center 餅","p c ping","Pizza Bank","PIs its worse","Pizza pins","Who better than having"
"ZH","穆巴拉克","穆巴拉克:穆巴拉克","/mu˥˩.pa˥˥.la˥˥.kɤ˥˩/","moo p lie key","/mu/ /pi/ /laɪ/ /ki/","Mut Pack Lamm Kuh","/muːt/ /pak/ /lam/ /kuː/","mou pan la camp","/mu/ /pa/ /la/ /ka/","六 パ 矢 子","/mu/ /pa/ /ja/ /ko/","穆 巴 拉 克","/mu˥˩/ /pa˥˥/ /la˥˥/ /kɤ˥˩/","Mubarak","moo p lie key","Courage Pack lamb cow","soft pan camp","Ms. m. 6 PA","Mubarak"
"ZH","衝浪者","衝浪者:衝浪者","/tʂuŋ˥˥.laŋ˥˩.tʂɤ˨˩˦/","tongue lung chew","/tʌŋ/ /lʌŋ/ /tʃu/","tun lang Tor","/tuːn/ /laŋ/ /toːɐ/","touche lame très","/tuʃ/ /lam/ /tʁɛ/","手 運 湾 手","/te/ /uɴ/ /waɴ/ /te/","種 浪 車","/tʂuŋ˨˩˦/ /laŋ˥˩/ /tʂɤ˥˥/","Surfing","tongue lung chew","do long gate","key blade very","Lucky Bay hands","Kinds of car"
"ZH","賈斯汀・比伯","賈斯汀・比伯:賈斯汀・比伯","/tɕia˨˩˦.s˥˥.tiŋ˥˥..pi˨˩˦.pa˥˩/","tree c teen awe p p","/tɹi/ /si/ /tin/ /ɔ/ /pi/ /pi/","Tier es Tang f Papa","/tiːɐ/ /eːs/ /taŋ/ /f/ /paː.paː/","teint as c' tir on pis pan","/tɛ/ /a/ /s/ /tiʁ/ /o/ /pi/ /pa/","手 彼 サー 輪 絵 Ｐ パ","/te/ /a/ /saː/ /ɾiɴ/ /e/ /piː/ /pa/","加 斯 丁 一 批 八","/tɕia˥˥/ /s˥˥/ /tiŋ˥˥/ /i˥˥/ /pi˥˥/ /pa˥˥/","Jia Austin · Bieber","tree c teen awe p p","Animal it Tang f Papa","complexion as it shot on pis pan","Hand him Sir wheel picture P PA","Jiasiding a group of eight"
