"srcLang","srcString","srcWords","srcPron","EN.words","EN.pron","DE.words","DE.pron","FR.words","FR.pron","JA.words","JA.pron","ZH.words","ZH.pron","srcGloss","EN.gloss","DE.gloss","FR.gloss","JA.gloss","ZH.gloss"
"EN","salivator","salivator:salivator","/ˈsæ.lə.ˌveɪ.təɹ/","salad vapor","/ˈsæ.ləd/ /ˈveɪ.pəɹ/","Skala Weiten","/skaː.laː/ /vaɪ.tən/","saler vautour","/sa.ˈle/ /vo.ˈtuʁ/","サー 夜 絵 手","/saː/ /jo/ /e/ /te/","薩 利 非 燈","/sa˥˩/ /li˥˩/ /fei˥˥/ /təŋ˥˥/","salivator","salad vapor","Scale width","Salt Vulture","Sir night painting hand.","Center of profits not 燈"
"EN","detoxicate","detoxicate:detoxicate","/di.ˈtɒk.sɪ.ˌkeɪt/","detox sedate","/ˈdi.tɒks/ /sɪ.ˈdeɪt/","Diktat Dickicht","/diːk.taːt/ /dɪ.kɪçt/","détente cinquante","/de.ˈtat/ /sɛ.ˈkat/","土 手 木 サー 毛 手","/do/ /te/ /ki/ /saː/ /ke/ /te/","低 度 苦 澀 箇 第","/ti˥˥/ /tu˥˩/ /ku˨˩˦/ /sɤ˥˩/ /kɤ˥˩/ /ti˥˩/","detoxicate","detox sedate","Dictation thicket","fifty relaxation","Banks wood Sir hairy hands","Low 澀 箇"
"EN","labdanum","labdanum:labdanum","/ˈlæb.də.nəm/","lab denim","/læb/ /ˈdɛ.nəm/","Lade Lamm","/laː.də/ /lam/","langue de même","/laɡ/ /də.ˈmɛm/","矢 土 年","/ja/ /do/ /neɴ/","藍 圖 嫩","/lan˧˥/ /tu˧˥/ /nən˥˩/","labdanum","lab denim","Loading lamb","the same language","Arrow Earth years","Blueprint tender"
"EN","oreodont","oreodont:oreodont","/ˈɔ.ɹi.ə.ˌdɒnt/","oro adopt","/ˈɔ.ɹɔ/ /ə.ˈdɒpt/","Orgie bedient","/ɔɐ.ɡiː/ /bə.diːnt/","orient Eden","/ɔ.ˈʁi/ /ə.ˈdɛn/","兎 水 絵 土 手","/u/ /mi/ /e/ /do/ /te/","無 利 而 蛋","/u˧˥/ /li˥˩/ /ər˧˥/ /tan˥˩/","oreodont","oro adopt","Orgy serves","East Eden","Rabbit shuihui Bank","Limitation of gain and egg"
"EN","calathus","calathus:calathus","/ˈkæ.lə.θəs/","callous","/ˈkæ.ləs/","Kehle Schuss","/keː.lə/ /ʃʊs/","cactus","/kak.ˈtys/","木 夜 胃 サー","/ki/ /jo/ /i/ /saː/","個 里 是 司","/kɤ˥˩/ /li˨˩˦/ /ʂ˥˩/ /s˥˥/","calathus","callous","Throat shot","Cactus","Thu night stomach services.","GE is Division"
"EN","cameo","cameo:cameo","/ˈkæ.mi.ˌoʊ/","cammie o","/ˈkæ.mi/ /oʊ/","Kamin Ohr","/kaː.miːn/ /oːɐ/","camp miner","/ka/ /mi.ˈne/","木 水 おん","/ki/ /mi/ /oɴ/","箇 米 謳","/kɤ˥˩/ /mi˨˩˦/ /ou˥˥/","cameo","cammie o","Fireplace ear","camp miner","Tree water-on.","箇 m 謳"
"EN","pargeting","pargeting:pargeting","/ˈpɑɹd.ʒɪ.tɪŋ/","pard knitting","/pɑɹd/ /ˈnɪ.tɪŋ/","Pein Schilling","/paɪn/ /ʃɪ.lɪŋ/","parti","/paʁ.ˈti/","パッド 痰","/pad.do/ /taɴ/","比 是 西 耵","/pi˨˩˦/ /ʂ˥˩/ /ɕi˥˥/ /tiŋ˥˥/","pargeting","pard knitting","Pein Schilling","party","Pad phlegm","West dīng"
"EN","emanation","emanation:emanation","/ˌɛ.mə.ˈneɪ.ʃən/","Emma nation","/ˈɛ.mə/ /ˈneɪ.ʃən/","Ebbe neigen","/ɛ.bə/ /naɪ.ɡən/","aimer machine","/ɛ.ˈme/ /ma.ˈʃin/","絵 水 音 信","/e/ /mi/ /ne/ /ʃiɴ/","一 目 內 森","/i˥˥/ /mu˥˩/ /nei˥˩/ /sən˥˥/","emanation","Emma nation","Low tide tend","love machine","Picture OT Shin","About sum"
"EN","lenitive","lenitive:lenitive","/ˈlɛ.nɪ.tɪv/","let native","/lɛt/ /ˈneɪ.tɪv/","Linie Tick","/liː.niː/ /tɪk/","lin lessive","/lɛ/ /lɛ.ˈsiv/","矢 ニ 手","/ja/ /ni/ /te/","里 尼 冬","/li˨˩˦/ /ni˧˥/ /tuŋ˥˥/","lenitive","let native","Line tick","linen laundry","Arrow d hand","Rini in winter"
"EN","overpowering","overpowering:overpowering","/ˌoʊ.vəɹ.ˈpaʊ.ə.ɹɪŋ/","over power","/ˈoʊ.vəɹ/ /ˈpaʊ.əɹ/","Ohrwurm Ohrring","/oːɐ.vʊɐm/ /oː.ʀɪŋ/","ordures peril","/oʁ.ˈdyʁ/ /pə.ˈʁil/","おん 問 パン 彼 年","/oɴ/ /moɴ/ /paɴ/ /a/ /neɴ/","區 分 保 爾 鬆","/ou˥˥/ /fən˥˥/ /pau˨˩˦/ /ər˨˩˦/ /suŋ˥˥/","overpowering","over power","Earwig earring","garbage risk","-On q Pan his years","Calls from overseas reinsurance Hilton relaxation"
