"srcLang","srcString","srcWords","srcPron","EN.words","EN.pron","DE.words","DE.pron","FR.words","FR.pron","JA.words","JA.pron","ZH.words","ZH.pron","srcGloss","EN.gloss","DE.gloss","FR.gloss","JA.gloss","ZH.gloss"
"FR","ondatra","ondatra:ondatra","/o.da.ˈtʁa/","oda try","/ˈoʊ.də/ /tɹaɪ/","Ohr Datei","/oːɐ/ /da.taɪ/","on dater","/o/ /da.ˈte/","を だ 田","/o/ /da/ /ta/","喔 他 蹋","/o˥˥/ /ta˥˥/ /ta˥˩/","ondatra","oda try","Ear file","on dating","It's rice","Wow he collapse"
"FR","directement","directement:directement","/di.ʁɛk.ˈtəm/","deem rectum","/dim/ /ˈɹɛk.təm/","direkt","/diː.ʀɛkt/","direct","/di.ˈʁɛkt/","土 絵 子 痰","/do/ /e/ /ko/ /taɴ/","第 十 股 凳","/ti˥˩/ /ʂ˧˥/ /ku˨˩˦/ /təŋ˥˩/","directly","deem rectum","direct","direct","Soil painting child phlegm","The tenth unit stool"
"FR","incertain","incertain:incertain","/ɛ.sɛʁ.ˈtɛ/","uncertain","/ʌn.ˈsɜɹtn/","Ernte","/ɛɐn.tə/","hein certain","/ɛ/ /sɛʁ.ˈtɛ/","彼 線 手","/a/ /seɴ/ /te/","一 四 十 弟","/i˥˥/ /s˥˩/ /ʂ˧˥/ /ti˥˩/","uncertain","uncertain","Harvest","EH some","His line hand","140"
"FR","malheureux","malheureux:malheureux","/ma.lœ.ˈʁø/","mileage","/ˈmaɪ.lɪdʒ/","Maler","/maː.lɐ/","mal heureux","/mal/ /œ.ˈʁø/","ま 夜 夜","/ma/ /jo/ /jo/","麼 里 護","/ma˧˥/ /li˨˩˦/ /xu˥˩/","unhappy","mileage","Painter","evil happy","Until midnight","-O"
"FR","regretter","regretter:regretter","/ʁə.ɡʁɛ.ˈte/","regret","/ɹɪ.ˈɡɹɛt/","Retter","/ʀɛ.tɐ/","regret thé","/ʁə.ˈɡʁɛ/ /te/","語 夏 手","/ɡo/ /ɡe/ /te/","系 學 弟","/ɕi˥˩/ /ɕyɛ˧˥/ /ti˥˩/","regret","regret","Savior","regret the","Language summer hands","College Station"
"FR","minerai","minerai:minerai","/mi.nə.ˈʁɛ/","manner","/ˈmæ.nəɹ/","Miene Herr","/miː.nə/ /hɛɐ/","miner rein","/mi.ˈne/ /ʁɛ/","水 七 血","/mi/ /na/ /t͡ɕi/","米 尼 頁","/mi˨˩˦/ /ni˧˥/ /iɛ˥˩/","ore","manner","Face Mr","Miner kidney","Water 7 blood","Minin here"
"FR","conseiller","conseiller:conseiller","/ko.sɛ.ˈje/","cassette","/kə.ˈsɛt/","Keller","/kɛ.lɐ/","conseil hier","/ko.ˈsɛj/ /je/","子 差 矢","/ko/ /sa/ /ja/","股 薩 逆","/ku˨˩˦/ /sa˥˩/ /ni˥˩/","Advisor","cassette","Keller","Council yesterday","Child difference arrows","Unit Center of inversion"
"FR","guerroyer","guerroyer:guerroyer","/ɡɛ.ʁwa.ˈje/","Gerry","/ˈɡɛ.ɹi/","Gegner je","/ɡɛ.ɡnɐ/ /jeː/","guerre broyer","/ɡɛʁ/ /bʁwa.ˈje/","夏 わ 矢","/ɡe/ /wa/ /ja/","箇 師 阿 鯊","/kɤ˥˩/ /ʂ˥˥/ /a˥˥/ /ʂa˥˥/","Iztaccíhuatl","Gerry","Opponents ever","war grind","Summer I arrow","The colon teacher shark"
"FR","actuellement","actuellement:actuellement","/ak.tyɛ.ˈləm/","column","/ˈkɒ.ləm/","Quellen","/kvɛ.lən/","axe tellement","/aks/ /tɛ.ˈləm/","彼 子 手 胃 水","/a/ /ko/ /te/ /i/ /mi/","案 學 棱","/an˥˩/ /ɕyɛ˧˥/ /ləŋ˧˥/","currently","column","Sources","axis so","His children get gastric water","Learning edge"
"FR","ayant le mal de l'air","ayant: le:le mal:mal de:de l'air:"," /lə/ /mal/ /də/ ","lambda","/ˈlæm.də/","Lemma Lade","/lɛ.ma/ /laː.də/","le mardi","/lə/ /maʁ.ˈdi/","ニ ま 土","/ni/ /ma/ /do/","里 曼 土","/li˨˩˦/ /man˥˩/ /tu˨˩˦/","with air sickness","lambda","Lemma charging","Tuesday","(D) include soils","Doug Liman"
