srcLang,tgtLang,srcString,tgtString,gloss,note
DE,EN,Sperre,sparrow,barrier,Imagine a sparrow on a station barrier 
DE,EN,Hose,hose,trousers,Imagine trousers wrapped round a garden hose 
DE,EN,Nehmen,name,to take,Imagine you take a name in your address book 
DE,EN,Haben,harbours,to have,Imagine harbours have many ships 
DE,EN,Ecke,echo,corner,Imagine an echo in a corner 
DE,EN,Dohle,dollar,jackdaw,Imagine a jackdaw with a dollar in its beak 
DE,EN,Kaufen,coffin,to buy,Imagine you buy a coffin 
DE,EN,Fliegen,fleas,to fly,Imagine fleas fly quickly 
DE,EN,Leiter,lighter,ladder,Imagine a lighter at the foot of a ladder 
DE,EN,Friseur,freezer,hairdresser,Imagine your hairdresser inside a freezer 
DE,EN,Stellen,steel,to put,Imagine you put steel girders in your house
DE,EN,Brauchen,brokers,to need,Imagine brokers need much experience

DE,EN,Teller,teller,plate,Imagine a fortune-teller with a pile of silver plates
DE,EN,Küche,cook,kitchen,Imagine your kitchen and a cook in it
DE,EN,Mieten,meat,to rent,Imagine you rent meat to friends in your room
DE,EN,Zahlen,sailors,to pay,Imagine sailors pay for hot rum 
DE,EN,Klippe,clippers,cliff,Imagine nail-clippers on a cliff
DE,EN,Fahne,fan,flag,Imagine a flag on a fan
DE,EN,Rufen,roof,to call,Imagine you call a friend to put a new roof on a cottage
DE,EN,Graben,crabs,to dig,Imagine crabs dig holes in the sand
DE,EN,Schere,shears,scissors,Imagine shears besides a pair of scissors
DE,EN,Rasen,raisins,lawn,Imagine your lawn covered in raisins
DE,EN,Stoßen,stores,to push,Imagine you push stores in a cupboard
DE,EN,Streichen,strikers,to paint,Imagine strikers paint slogans on walls

DE,EN,Schalter,shelter,counter,Imagine a sea-side shelter with a candy-floss 
DE,EN,Flasche,flash,bottle,Imagine a bottle in a flash of lightning 
DE,EN,Streiten,straits,to quarrel,Imagine you quarrel about the Menai straits 
DE,EN,Laufen,loaves,to run,Imagine bread loaves run down the street 
DE,EN,Brücke,brook,bridge,Imagine a small brook under a hump-backed 
DE,EN,Messer,mess,knife,Imagine a knife in a mess of gravy 
DE,EN,Treten,tread,to step,Imagine you step on a stair tread 
DE,EN,Tragen,dragons,to carry,Imagine dragons carry fire hoses 
DE,EN,Nagel,knuckle,nail,Imagine your knuckle with a nail through it 
DE,EN,Birne,burner,pear,Imagine a pear on a gas burner
DE,EN,Sagen,sago,to tell,Imagine you tell someone sago is good for them 
DE,EN,Reißen,rice,to tear,Imagine rice tears a hole in a paper bag
